,Number,Name,Latitude,Longitude,District,Public,Total docks
68,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
69,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
70,D32000,Cambridge St at Joy St,42.361211653079856,-71.06530619789737,Boston,Yes,15
71,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
72,C32088,Central Ave at River St,42.27094707029229,-71.07337901405117,Boston,Yes,15
73,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,Cambridge,Yes,17
74,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
75,A32041,Central Square East Boston,42.37544912547037,-71.03918548682486,Boston,Yes,15
76,C32086,Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,Boston,Yes,19
77,E32008,Centre St at Seaverns Ave,42.3121203,-71.11429809999998,Boston,Yes,15
78,C32085,Centre St at W. Roxbury Post Office,42.286331991127746,-71.1534475536973,Boston,Yes,19
79,D32016,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337151,Boston,Yes,19
80,D32051,Charles St at Pinckney St,42.358725304621636,-71.07079532006537,Boston,Yes,15
81,D32039,Charlestown Navy Yard,42.37412454942653,-71.05481199938367,Boston,Yes,23
82,A32027,Chelsea St at Saratoga St,42.379771999999996,-71.02744799999999,Boston,Yes,15
83,V32009,Chelsea St at Vine St,42.403280569725325,-71.04762639859473,Everett,Yes,15
84,M32049,Child St at North St,42.37150494100319,-71.07249312120985,Cambridge,Yes,23
85,D32015,Chinatown Gate Plaza,42.351356,-71.05936700000001,Boston,Yes,19
86,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19
87,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,Boston,Yes,19
88,S32010,Clarendon Hill at Broadway,42.406302000000004,-71.132446,Somerville,Yes,15
89,D32047,Clarendon St at Newbury St,42.35155308466532,-71.0756903143556,Boston,Yes,19
90,B32035,Cleveland Circle,42.335543083570826,-71.15061519672051,Boston,Yes,15
91,C32055,Codman Square Library,42.287361100000005,-71.071111,Boston,Yes,17
92,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,Boston,Yes,15
93,B32029,Columbia Rd at Ceylon St,42.309571999999996,-71.0729,Boston,Yes,15
94,C32052,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Boston,Yes,19
95,C32004,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,Boston,Yes,14
96,C32077,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,Boston,Yes,19
97,A32002,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,Boston,Yes,15
98,K32006,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094705,Brookline,Yes,15
99,D32033,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,Boston,Yes,19
100,D32034,Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847,Boston,Yes,15
101,S32022,Community Path at Cedar Street,42.39407223665884,-71.11133694648744,Somerville,Yes,15
102,D32009,Congress St at North St,42.36041774637169,-71.05752243543975,Boston,Yes,23
103,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15
104,C32010,Congress St at Sleeper St,42.351004495946704,-71.04930013418199,Boston,Yes,19
105,S32004,Conway Park - Somerville Avenue,42.383404999999996,-71.10759300000001,Somerville,Yes,23
106,K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19
107,D32005,Copley Square - Dartmouth St at Boylston St,42.349928282300574,-71.07739206866427,Boston,Yes,33
108,S32037,Craigie at Summer St,42.38828872616418,-71.11071459967206,Somerville,Yes,19
109,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19
110,C32079,Cummins at American Legion,42.278811581565975,-71.11687703062671,Boston,Yes,15
111,E32001,Curtis Hall - South St at Centre St,42.309053999999996,-71.11543,Boston,Yes,15
112,K32009,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,Brookline,Yes,15
113,M32030,Dana Park,42.361780439606044,-71.10809952020645,Cambridge,Yes,19
114,M32031,Danehy Park,42.388965999999996,-71.132788,Cambridge,Yes,17
115,D32045,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Boston,Yes,19
116,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25
117,B32037,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,Boston,Yes,19
118,M32066,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814624,Cambridge,Yes,23
119,C32009,Dorchester Ave at Gillette Park,42.34404051001636,-71.0573762655258,Boston,Yes,15
120,C32066,Dorchester Ave at King St,42.291756216320906,-71.0625918023743,Boston,Yes,15
121,B32017,Dudley Square - Dudley St at Warren St,42.32984299351809,-71.08386572459494,Boston,Yes,14
122,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15
123,C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,19
124,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.03943100000001,Boston,Yes,16
125,S32017,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,Somerville,Yes,15
126,S32038,Edgerly Education Center,42.38717463348314,-71.08714388528824,Somerville,Yes,15
127,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19
128,M32034,EF - North Point Park,42.369885,-71.06995699999999,Cambridge,Yes,23
129,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.09863399999999,Boston,Yes,15
130,S32039,Elm St at White St,42.38952436305763,-71.11694140364307,Somerville,Yes,19
131,V32005,Encore,42.393292632251615,-71.0724475979805,Everett,Yes,15
132,V32003,Everett Square (Broadway at Chelsea St),42.40725945172653,-71.05546381333625,Everett,Yes,14
133,A32000,Fan Pier,42.353390507052296,-71.04457139968872,Boston,Yes,15
134,A32038,Faneuil St at Arlington St,42.352766205456064,-71.15988485533308,Boston,Yes,15
135,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23
136,V32007,Ferry St at Pleasantview Ave,42.40914877754532,-71.04597684005057,Everett,Yes,15
137,C32041,Fields Corner T Stop,42.2996667,-71.0605833,Boston,Yes,0
138,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40
139,S32015,Foss Park,42.39108438146733,-71.09039425849916,Somerville,Yes,15
140,C32037,Four Corners - 157 Washington St,42.304127927390155,-71.07929527759552,Boston,Yes,11
