,Number,Name,Latitude,Longitude,District,Public,Total docks
298,S32002,Union Square - Somerville,42.37965809715277,-71.09394280244487,Somerville,Yes,19
299,C32014,University of Massachusetts Boston - Campus Center,42.312189184756114,-71.03648586203235,Boston,Yes,19
300,M32040,University Park,42.36264779118595,-71.1000609397888,Cambridge,Yes,19
301,C32019,Upham's Corner,42.31727474327453,-71.06537003967787,Boston,Yes,0
302,B32025,Upham's Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.06978148221971,Boston,Yes,15
303,M32057,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,Cambridge,Yes,19
304,M32050,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,Cambridge,Yes,19
305,C32029,W Broadway at D St,42.3391085,-71.05144320000001,Boston,Yes,23
306,C32016,W Broadway at Dorchester St,42.335958979433094,-71.04622899561036,Boston,Yes,17
307,B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,0
308,D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23
309,C32042,Washington St at Bradlee St,42.29916497936589,-71.07345871645518,Boston,Yes,0
310,D32029,Washington St at Brock St,42.348952846695106,-71.16031676530837,Boston,Yes,15
311,C32081,Washington St at Denton Terr,42.280728147169015,-71.13423757273267,Boston,Yes,19
312,A32037,Washington St at Egremont Rd,42.3428683507196,-71.14127840855872,Boston,Yes,15
313,C32084,Washington St at Fuller St,42.281986277339136,-71.07147924620222,Boston,Yes,15
314,K32011,Washington St at Griggs Rd,42.33833423719901,-71.13050930220197,Brookline,Yes,15
315,C32005,Washington St at Lenox St,42.3350989929096,-71.07903778553009,Boston,Yes,15
316,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,15
317,S32021,Washington St at Myrtle St,42.38169983163681,-71.08377588917392,Somerville,Yes,15
318,C32067,Washington St at Peters Park,42.34303291130257,-71.06688730436872,Boston,Yes,19
319,C32006,Washington St at Rutland St,42.338514601785995,-71.07404083013535,Boston,Yes,23
320,C32038,Washington St at Talbot Ave,42.290333000000004,-71.07180600000001,Boston,Yes,17
321,C32083,Washington St at Walsh Playground,42.277194696397906,-71.06955613950049,Boston,Yes,19
322,D32002,Washington St at Waltham St,42.3415598497246,-71.06886953115462,Boston,Yes,15
323,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,Boston,Yes,15
324,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,Boston,Yes,14
325,D32022,West End Park,42.36590788445085,-71.06446668505669,Boston,Yes,35
326,A32043,Western Ave at Richardson St,42.36178741066188,-71.14393111327445,Boston,Yes,19
327,B32059,Whittier St Health Center,42.33286288486264,-71.09218861916816,Boston,Yes,19
328,D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,19
329,S32005,Wilson Square,42.385582,-71.113341,Somerville,Yes,15
