After Times?,Start Station Latitude,Start Station Longitude,Start Station Name,Number of Trips
TRUE,42.39841773,-71.02390923,855 Broadway,6
TRUE,42.36762049,-71.15656637,Nichols Ave. at Watertown Greenway,14
TRUE,42.39678589,-71.10237297,Somerville Hospital,14
TRUE,42.28887,-71.095003,2 Hummingbird Lane at Olmsted Green,15
TRUE,42.39022671,-71.03857018,Chelsea Square,24
TRUE,42.39636528,-71.03987179,Chelsea Station,25
TRUE,42.34947178,-71.22000679,West Newton Armory,26
TRUE,42.39453079,-71.03085595,Broadway at Gerrish Ave,26
TRUE,42.39813565,-71.03070972,Cary Square,26
TRUE,42.39301409,-71.03392497,Bellingham Square,31
TRUE,42.40741,-71.0139,Revere City Hall,31
TRUE,42.27600499,-71.03924982,BCBS Quincy,35
TRUE,42.408088,-71.008942,Revere Public Library,36
TRUE,42.2920896,-71.07841156,Park St at Norwell St,37
TRUE,42.380998,-71.08721308,Washington St at Myrtle St,40
TRUE,42.286012,-71.090986,Blue Hill Ave at Havelock St,43
TRUE,42.40616124,-71.06041655,Kearins Playground,45
TRUE,42.330528,-71.192861,Langley Lot,48
TRUE,42.35574335,-71.18641943,Centre St at Washington St,50
TRUE,42.2944167,-71.0783056,Park St at Norwell St,51
TRUE,42.36466403,-71.17569387,160 Arsenal,55
TRUE,42.3740832,-71.03274185,Airport T Stop - Bremen St at Brooks St,55
TRUE,42.398365,-71.107818,Magoun Square at Trum Field,56
TRUE,42.39782213,-71.1060667,Ball Sq,57
TRUE,42.38363402,-71.10855814,Craigie at Summer St,72
TRUE,42.379295,-71.027733,Day Sq,75
TRUE,42.367621,-71.187936,Watertown Town Hall,95
TRUE,42.38066931,-71.03907316,Marion St at White St,100
TRUE,42.32956868,-71.19367272,Union St at Herrick Rd – Newton Centre Green Line,103
TRUE,42.29442579,-71.07821761,Park St at Norwell St,105
TRUE,42.35389024,-71.19943707,Washington St at Crafts St,106
TRUE,42.35711921,-71.18604537,Bacon St at Washington St,121
TRUE,42.396764,-71.102376,Broadway Opposite Norwood Ave  (Temp Winter Station),128
TRUE,42.3496005,-71.22627497,West Newton,135
TRUE,42.40994213,-71.1400932,Broadway at Grafton St,136
TRUE,42.387151,-71.075978,18 Dorrance Warehouse,146
TRUE,42.28072514,-71.08617242,Morton St T,152
TRUE,42.36068456,-71.201462,Nonantum Library,155
TRUE,42.398444,-71.107833,Trum Field @ Cedar St (Temp Winter Station),165
TRUE,42.324173,-71.10196,Martha Eliot Health Center,170
TRUE,42.300664,-71.060295,Fields Corner T Stop,172
TRUE,42.41496265,-71.05279301,Hale Park,173
TRUE,42.380078,-71.090098,Union Square East (Temp Winter Station),185
TRUE,42.34178089,-71.03987017,645 Summer St,187
TRUE,42.40615157,-71.06040745,Main Street at Carter Street,189
TRUE,42.3525878,-71.06764905,Boylston St at Arlington St,197
TRUE,42.40726052,-71.14382132,Mass Ave at Grafton St,206
TRUE,42.34655124,-71.12833211,JFK Crossing at Harvard St. / Thorndike St.,219
TRUE,42.36371276,-71.12459779,Innovation Lab - 125 Western Ave at Batten Way,222
TRUE,42.37057753,-71.0355854,Gove St at Orleans St,222
TRUE,42.28277901,-71.15728851,Centre St at Parkway YMCA,238
TRUE,42.36411904,-71.02876782,Porzio Park,243
TRUE,42.27462067,-71.09372553,Blue Hill Ave at Almont St,245
TRUE,42.2773889,-71.09325,Mattapan Library,262
TRUE,42.28198628,-71.07147925,Washington St at Fuller St,271
TRUE,42.2771947,-71.06955614,Washington St at Walsh Playground,278
TRUE,42.41034691,-71.05260458,Broadway at Maple St,281
TRUE,42.41250451,-71.05842225,*,288
TRUE,42.36444157,-71.18091374,N. Beacon St at N. Beacon Ct,297
TRUE,42.34155985,-71.06886953,Washington St at Waltham St,301
TRUE,42.29118035,-71.11773666,Northbourne Rd at Hyde Park Ave,306
TRUE,42.29916498,-71.07345872,Washington St at Bradlee St,307
TRUE,42.381056,-71.087083,Washington St @ New Washington St (Temp Winter Station),308
TRUE,42.29175622,-71.0625918,Dorchester Ave at King St,309
TRUE,42.27881158,-71.11687703,American Legion Hwy at Canterbury St,322
TRUE,42.28072815,-71.13423757,Washington St at Denton Terr,322
TRUE,42.28633199,-71.15344755,Centre St at W. Roxbury Post Office,324
TRUE,42.40933007,-71.06381878,*,327
TRUE,42.30412793,-71.07929528,Four Corners - 157 Washington St,328
TRUE,42.38364093,-71.10868692,Conway Park @ Bleachery Ct (Temp Winter Station),339
TRUE,42.27748444,-71.16341468,Spring St at Powell St,340
TRUE,42.28484472,-71.11874517,Mt. Hope St at Hyde Park Ave,373
TRUE,42.290333,-71.071806,Washington St at Talbot Ave,387
TRUE,42.344952,-71.127351,JFK Crossing at Harvard St. / Thorndike St.,394
TRUE,42.368019,-71.1242,Harvard Stadium: N. Harvard St at Soldiers Field Rd,402
TRUE,42.309572,-71.0729,Columbia Rd at Ceylon St,413
TRUE,42.28621295,-71.07942931,Thetford Ave at Norfolk St,415
TRUE,42.36121165,-71.0653062,Cambridge St at Joy St,478
TRUE,42.38240378,-71.03024304,Glendon St at Condor St,482
TRUE,42.2873611,-71.071111,Codman Square Library,490
TRUE,42.40985878,-71.06631868,Norman St at Kelvin St,494
TRUE,42.31786021,-71.07798629,Blue Hill Ave at Southwood St,524
TRUE,42.28630716,-71.12820532,Roslindale Village - Washington St,527
TRUE,42.2863459,-71.1367213,Belgrade Ave at Walworth St,539
TRUE,42.40016805,-71.14456963,Thorndike Field at Minuteman Bikeway,542
TRUE,42.39239749,-71.15058332,Smith Pl at Wilson Rd,544
TRUE,42.31869734,-71.06978148,Uphams Corner T Stop - Magnolia St at Dudley St,548
TRUE,42.40935396,-71.14906519,Linwood St at Minuteman Bikeway,559
TRUE,42.392525,-71.105587,Community Path at Lowell St,589
TRUE,42.37971603,-71.09391332,Union Square - Somerville,600
TRUE,42.324081,-71.083235,Walnut Ave at Warren St,609
TRUE,42.36277389,-71.15764855,Arsenal Yards,650
TRUE,42.37331213,-71.04102008,Boston East - 126 Border St,654
TRUE,42.2945833,-71.087111,Talbot Ave At Blue Hill Ave,665
TRUE,42.40725945,-71.05546381,Everett Square (Broadway at Chelsea St),685
TRUE,42.29167943,-71.05726346,Adams St at Lonsdale St,722
TRUE,42.41608484,-71.15315407,Railroad Lot and Minuteman Bikeway,732
TRUE,42.27094707,-71.07337901,Central Ave at River St,754
TRUE,42.267902,-71.093641,Mattapan T Stop,755
TRUE,42.37207612,-71.15683131,Coolidge Sq.,797
TRUE,42.33736915,-71.14485977,Beacon St at Englewood Ave,802
TRUE,42.287072,-71.127754,Roslindale Village - South St,806
TRUE,42.40328057,-71.0476264,Chelsea St at Vine St,812
TRUE,42.2996667,-71.0605833,Fields Corner T Stop,814
TRUE,42.29266593,-71.12119539,Archdale Rd at Washington St,822
TRUE,42.292917,-71.06575,Shawmut T Stop,837
TRUE,42.41427294,-71.04479656,Glendale Square (Ferry St at Broadway),837
TRUE,42.30785224,-71.06512249,Bowdoin St at Quincy St,842
TRUE,42.31930943,-71.09639924,The Dimock Center,842
TRUE,42.38353252,-71.01619095,Bennington St at Byron St,857
TRUE,42.37407974,-71.03276393,Airport T Stop - Bremen St at Brooks St,870
TRUE,42.31727474,-71.06537004,Uphams Corner,878
